suggested_icd_name,ayurveda_term,ayurveda_code,ayurveda_confidence,ayurveda_justification,siddha_term,siddha_code,siddha_confidence,siddha_justification,unani_term,unani_code,unani_confidence,unani_justification
"6A00.0,Other specified unilateral spinal pain",pArSvAvamardaH (kEvalavAta),AAB-58,90%,"The Sanskrit term 'pArSvAvamardaH' translates to 'pain in the side' or 'lateral pain', and the qualifier 'kEvalavAta' suggests a possible etiology in Vata imbalance, but it would best fit as a unilateral pain, in the absence of more specific information.  This most closely aligns with 'Other specified unilateral spinal pain' within ICD-11.  Note that other ICD-11 codes could also apply given a fuller definition",,,,,,,,
8G70- (Neuralgic pain),piNDikodveShTanam (kEvalavAta),AAB-59(SP9Y),70%,"'PiNDikodveShTanam (kEvalavAta)' suggests a pain condition (veShTanam) localized in the piNDika (possibly referring to a specific anatomical area, requiring further clarification) primarily of Vata origin (kEvalavAta) within Ayurvedic principles.  This aligns broadly with Neuralgic Pain in ICD-11, though more precision would need further details on the affected area and associated symptoms.",,,,,,,,
Constipation,nan,SM34(AAC-12.4),90%,"The Ayurvedic term 'Vibandha' (विबन्ध), describing difficulty in passing stools with bloating and abdominal pain potentially linked to Vata imbalance, directly maps to the ICD-11 definition of Constipation, characterized by infrequent or difficult defecation.",Malakkaṭṭu,TJA1.9,90%,"The Siddha term 'Malakkaṭṭu' clearly describes constipation in children, matching the ICD-11 definition of constipation, characterized by infrequent or difficult bowel movements, especially given the mention of abdominal pain and refusal to feed, common symptoms in pediatric constipation.",Al-Aghdhiya al-Ḥābisa li’l Baṭn,O-533,90%,"The Unani term 'Al-Aghdhiya al-Ḥābisa li’l Baṭn', meaning 'diets causing constipation', directly translates to the functional bowel disorder of constipation as defined within ICD-11, specifically focusing on the etiology related to dietary habits."
Musculoskeletal pain of the back and other specified parts of the trunk (excluding the spine),pRuShTha-grahaH (kEvalavAta),SP42(AAB-61),90%,"The description of 'pRuShTha-grahaH (kEvalavAta)' as backache with stiffness and immobility, primarily due to vitiated Vata (air/wind dosha), directly correlates with musculoskeletal pain, specifically affecting the back.  The ICD-11 term encompasses the back pain and immobility aspects without specifying a precise spinal origin.",,,,,,,,
8A70-Sensorineural hearing loss,bAdhiryam (kEvalavAta),AAB-63,90%,"The term 'bAdhiryam (kEvalavAta)' suggests hearing loss attributed solely to Vata dosha in Ayurveda.  Given 'kEvalavAta' implies a specific etiology rather than a mixed condition, sensorineural hearing loss is the most likely ICD-11 equivalent.",,,,,,,,
8M80.1- Other specified osteochondroses,bAhuSoShaH (kEvalavAta),AAB-64(SP4Y),60%,"The term 'bAhuSoShaH (kEvalavAta)' suggests atrophy or wasting of the arm, potentially linked to a condition involving bone and cartilage, aligning it with  'Other specified osteochondroses', although further information is needed for a more precise diagnosis.",,,,,,,,
8A70 - Other specified disorders of the nervous system,balahAniH (kEvalavAta),AAB-65(SP9Y),60%,"'Balahani (kevalavata)' suggests weakness (balahani) caused solely by Vata dosha (kevalavata) in Ayurveda.  While a direct equivalent is lacking,  'Other specified disorders of the nervous system' is a plausible ICD-11 category given Vata's association with neurological function in Ayurvedic theory, acknowledging the inherent limitations in cross-system mapping.",,,,,,,,
"8E00, Unspecified anxiety disorder",BIrutA (kEvalavAta),AAB-67,60%,"While lacking precise definitions,  'Bīrutā (kevalavāta)' appearing to describe fear or anxiety ('bīrutā' meaning timidity or fear) suggests a possible link to unspecified anxiety disorders in ICD-11, though more information is needed for a definitive mapping.",,,,,,,,
"Aphasia, unspecified",mUkatvam,SL07(AAC-33),90%,"The Ayurvedic term 'mUkatvam', meaning inability to speak due to imbalances in Vata and Kapha doshas, directly correlates with the broad definition of aphasia, encompassing various speech disorders in ICD-11, particularly when a specific type isn't specified.",,,,,,,,
6A00.0 Delusional disorder,BramaH (kEvalavAta),AAB-71,60%,"The term 'BramaH (kEvalavAta)' suggests a delusion possibly stemming from an Ayurvedic imbalance ('Vata').  While not a perfect match, delusional disorder is the closest ICD-11 category considering the lack of specific clinical information within the provided input.",,,,,,,,
G60.0-Migraine,BrUvyudAsaH (kEvalavAta),AAB-72(SK5Y),60%,"The term 'BrUvyudAsaH (kEvalavAta)' suggests a headache predominantly attributed to Vata dosha imbalance in Ayurveda.  While not a direct equivalent, the focus on headache aligns with migraine, although further specification is needed due to lack of detail in the provided definition.",,,,,,,,
Cervicalgia due to other specified causes,manyAstamBaH (kEvalavAta),AAB-73,80%,"The term 'manyAstamBaH (kEvalavAta)' suggests cervical stiffness or rigidity ('manyAstamBaH') primarily attributed to Vata imbalance ('kEvalavAta'), which, in the absence of more specific details, broadly maps to neck pain from unspecified causes in ICD-11.",,,,,,,,
Dry mouth,tAluSoShaH,GE-9,60%,"While lacking detailed definitions,  'tAluSoShaH' (तालुशोषः) translates to dryness of the palate, suggesting xerostomia which aligns with  ICD-11 categories related to dry mouth, though more clinical information is needed for higher confidence.",,,,,,,,
Neurogenic bladder,vAtakuNDalikA,SM88 (EJ-3.9),80%,"The Ayurvedic term 'vAtakuNDalikA' describes dribbling of urine due to vitiated vata affecting the urinary bladder, which aligns with the neurological dysfunction causing bladder control issues characteristic of neurogenic bladder in ICD-11;  the lack of more precise clinical details reduces confidence.",Vaḷi,XEA,90%,"The Siddha term 'Vali' describing dribbling of urine points towards a neurological condition affecting bladder control, aligning with the ICD-11 definition of Neurogenic bladder which encompasses various neurological causes of urinary dysfunction.",Taqṭīr al-Bawl,G-30,90%,"The description of 'Taqṭīr al-Bawl' as dribbling of urine, a middle stage between urinary retention and micturition, aligns well with the symptoms and pathophysiology associated with neurogenic bladder, a condition involving impaired bladder function due to neurological issues."
8G70 (Menstrual disorders due to other specified causes),rajonASaH (kEvalavAta),AAB-76,60%,"'Rajonasaha' (रजोनाशः) refers to cessation of menstruation, and  'kevalavata' (केवलवात) suggests a possible link to Vata imbalance, potentially influencing the hormonal or neurological aspects of menstruation, hence the suggestion of a menstrual disorder with an unspecified cause, rather than primary amenorrhea which would imply the absence of menstruation from menarche.",,,,,,,,
Other specified disorders of skin sensation,lomaharShaH (kEvalavAta),AAB-78(SP9Y),70%,"The term 'lomaharṣaḥ (kevalavāta)' describes a condition characterized by piloerection (goosebumps) associated with Vata dosha imbalance in Ayurveda.  While not a precise match,  'Other specified disorders of skin sensation' within ICD-11 seems the closest category encompassing this sensory disturbance.",,,,,,,,
Tension-type headache,anuvAsitasya nasyavyApadaH,SK-3.11,60%,"The description 'śirōgurutvam' (heaviness of head) in the context of  'anuvAsitasya nasyavyApadaH' suggests a persistent, non-migrainous headache, aligning with the characteristics of tension-type headache in ICD-11; however, the provided information is insufficient for a higher confidence level.",Vātattalai Nōkkāṭu,Z71,90%,"The description of 'Vātattalai Nōkkāṭu' as a headache with heaviness and pain in the head, ears, nose, and forehead, aligns well with the symptoms of tension-type headache in ICD-11,  especially considering the 'increased vali' referencing increased Vata dosha mirroring the pathophysiological concept of muscle tension.",Mayl al-Ṣudā‘ ilā Khalf al-Ra’s,Q-50,90%,"The Unani description 'Mayl al-Ṣudā‘ ilā Khalf al-Ra’s' specifying a headache in the posterior part of the head directly corresponds to the location often reported in tension-type headaches, a common and well-defined category within ICD-11."
6A00.0 - Trigeminal neuralgia,trikagrahaH (kEvalavAta),AAB-80(SP1Y),70%,"The term 'trikagrahaH' suggests a condition affecting three regions (trika), possibly related to the trigeminal nerve, and 'kEvalavAta' implying a wind-related disorder, aligning with the neuropathic pain characteristics of trigeminal neuralgia.  However, more clinical context is needed for definitive classification.",,,,,,,,
6A00.1-Glaucoma,vartmastamBaH (kEvalavAta),AAB-81,60%,"While the provided definition is lacking, 'vartmastamBaH' refers to stiffness or obstruction of the eyelids, and 'kEvalavAta' suggests a Vata imbalance associated with dryness.  Considering eyelid stiffness can be a symptom of glaucoma, this is a tentative mapping; more information is needed for higher confidence.",,,,,,,,
6A00.0-Carpal tunnel syndrome,vartmasa~gkocaH (kEvalavAta),AAB-82(SK7Y),60%,"While the provided Ayurvedic term lacks a clear definition, 'vartmasa~gkocaH' suggesting constriction, and 'kEvalavAta' implying a solely Vata-related disorder, points towards a possible entrapment neuropathy like carpal tunnel syndrome, given Vata's association with movement and nerve function.  This is a tentative mapping due to limited information.",,,,,,,,
EA10.0-Other specified disorders of the respiratory system,vakShoparodhaH (kEvalavAta),AAB-83(SP9Y),80%,"VakShoparodhaH (kEvalavAta), meaning chest obstruction due solely to Vata dosha in Ayurveda, points towards a respiratory disorder not specifically categorized elsewhere,  thus aligning with 'Other specified disorders of the respiratory system' in ICD-11.",,,,,,,,
Pain in chest due to Vata disorder,vakShastodaH (kEvalavAta),AAB-84(SP9Y),60%,"While 'vakShastodaH (kEvalavAta)' points to chest pain primarily attributed to Vata imbalance in Ayurveda, the lack of detailed definition makes precise ICD-11 mapping challenging.  'Pain in chest due to Vata disorder' is a broad interpretation encompassing several possibilities within the ICD-11 chapter on Pain.",,,,,,,,
6A70- Speech sound disorder,vAk-sa~ggaH (kEvalavAta),SK53(AAB-85),90%,"The description of 'vAk-sa~ggaH (kEvalavAta)' focusing on loss of speech clarity, lalling, and strained speech directly maps to the ICD-11 category of speech sound disorders, encompassing articulation difficulties consistent with the provided definition.",,,,,,,,
"8E00, other specified neurological disorders",vAcAlatA (kEvalavAta),AAB-86(SP9Y),60%,"While 'vAcAlatA (kEvalavAta)' lacks a precise definition, the context suggests a neurological disorder, potentially a type of paralysis or motor dysfunction not explicitly covered by more specific ICD-11 codes.  'kEvalavAta' hinting at a singular/isolated affliction further supports this broad categorization.",,,,,,,,
8A60-Hypertensive crisis,vAmanatvam (kEvalavAta),AAB-88(SP9Y),60%,"'vAmanatvam (kEvalavAta)' suggests a condition potentially related to  imbalance in Vata dosha, which, in some severe cases, might manifest as hypertensive crisis.  However, without a detailed definition, this mapping is tentative.",,,,,,,,
"Neuralgia, not elsewhere classified",trikaSUlaH,EB-10.16,60%,"Without further definition of 'trikaSUlaH',  a neuralgic pain condition seems a plausible, albeit broad, mapping given the potential for interpreting 'trika' as referring to three points of pain and 'sula' as a sharp or piercing sensation.  More information is needed for higher confidence.",,,,,,,,
8B50 - Other specified disorders of the nervous system,viShaduShTa-anilasparSaH,PA-37,80%,"The symptoms described, including headache (śirōrujaḥ), dizziness (bhramaḥ), and syncope (mūrcchā), along with unusual weather sensitivities, point towards a neurological disorder not specifically fitting into other ICD-11 categories; 'other specified disorders' provides the most suitable umbrella term.",,,,,,,,
Depressive disorder,viShAdaH/dInatA (kEvalavAta),AAB-91(SQ04),60%,"The Ayurvedic term 'viShAdaH/dInatA (kEvalavAta)' suggests a state of sadness and dejection possibly linked to Vata imbalance, which bears some resemblance to the broader symptoms of depressive disorders as classified in ICD-11, although further clinical details are needed for a more confident mapping.",,,,,Al-Ḥuzn al-Dā’im,Q-57,90%,"The Unani term 'Al-Ḥuzn al-Dā’im,' meaning 'continuous state of sadness,' directly corresponds to the core symptom of persistent low mood characteristic of depressive disorders within the ICD-11 classification."
